,Label,Is match?,Shape similarity,Ratio area,Distance
0,1,True,0.108209,0.059854,0.0
1,0,False,0.824044,0.640957,0.211975
2,0,False,0.951521,0.998284,0.128933
3,1,True,0.001884,0.000406,0.0
4,0,False,1.0,1.0,0.205995
5,0,False,0.938,0.997769,0.428067
6,1,True,0.001884,0.000406,0.0
7,0,False,0.939717,0.873235,0.227895
8,0,False,0.948181,1.0,0.161232
9,1,True,0.001884,0.000406,0.0
10,0,False,0.950044,0.999042,0.244457
11,0,False,0.939541,0.87304,0.227895
12,1,True,0.382475,0.150466,0.101882
13,0,False,0.666905,0.703157,0.551521
14,0,False,0.648622,1.0,0.415776
15,1,True,0.01568,0.001169,0.001816
16,0,False,0.641411,1.0,0.413953
17,0,False,0.498887,1.0,0.418373
18,1,True,0.027378,0.002339,0.003743
19,0,False,0.372285,0.999063,0.28109
20,0,False,0.71558,0.999998,0.267497
21,1,True,0.034284,0.000493,0.00406
22,0,False,0.375496,0.999004,0.274743
23,0,False,0.999999,1.0,0.419709
24,1,True,0.010972,0.000969,0.001816
25,0,False,0.821855,1.0,0.402402
26,0,False,0.680098,0.57359,0.445985
27,1,True,0.026042,0.003411,0.002871
28,0,False,0.689224,1.0,0.418222
29,0,False,0.665516,1.0,0.39733
30,1,True,0.019834,0.003026,0.003743
31,0,False,0.673896,1.0,0.346907
32,0,False,0.805919,1.0,0.441709
33,1,True,0.011165,0.002351,0.00203
34,0,False,0.680041,1.0,0.466102
35,0,False,0.812284,1.0,0.46584
36,1,True,0.010655,0.003934,0.00203
37,0,False,0.54655,1.0,0.43089
38,0,False,0.824117,0.99659,0.443628
39,1,True,0.025754,0.005006,0.002871
40,0,False,0.668537,1.0,0.443246
41,0,False,0.828523,0.996389,0.443074
42,1,True,0.012417,0.003414,0.00203
43,0,False,0.695387,1.0,0.457802
44,0,False,0.883526,1.0,0.412237
45,1,True,0.001943,0.00158,0.0
46,0,False,0.699131,1.0,0.375707
47,0,False,0.598308,0.999695,0.617516
48,1,True,0.008538,0.004638,0.00203
