,Label,Is match?,Shape similarity,Ratio area,Distance
0,1,True,0.108209,0.059854,0.0
1,0,False,0.849132,1.0,0.10468
2,0,False,0.929632,1.0,0.081423
3,1,True,0.001884,0.000406,0.0
4,0,False,0.820217,1.0,0.118819
5,0,False,0.915737,1.0,0.081423
6,1,True,0.001884,0.000406,0.0
7,0,False,0.940601,0.998998,0.064467
8,0,False,0.996401,1.0,0.124285
9,1,True,0.001884,0.000406,0.0
10,0,False,0.996406,1.0,0.124285
11,0,False,0.939541,0.87304,0.113948
12,1,True,0.0,0.0,0.0
13,0,False,0.948181,1.0,0.080616
14,0,False,0.915921,1.0,0.081423
15,1,True,0.0,0.0,0.0
16,0,False,0.950204,0.999038,0.122229
17,0,False,0.915921,1.0,0.081423
18,1,True,0.0,0.0,0.0
19,0,False,0.940601,0.998998,0.064467
20,0,False,0.950204,0.999038,0.122229
21,1,True,0.0,0.0,0.0
22,0,False,1.0,1.0,0.102766
23,0,False,0.830743,1.0,0.10468
24,1,True,0.0,0.0,0.0
25,0,False,0.936398,0.967559,0.174396
26,0,False,0.99994,0.999954,0.10641
27,1,True,0.0,0.0,0.0
28,0,False,0.940601,0.998998,0.064467
29,0,False,0.915921,1.0,0.081423
30,1,True,0.0,0.0,0.0
31,0,False,0.830743,1.0,0.10468
32,0,False,0.789203,0.578472,0.105987
33,1,True,0.0,0.0,0.0
34,0,False,0.944976,1.0,0.100585
35,0,False,0.916805,1.0,0.116773
36,1,True,0.0,0.0,0.0
37,0,False,0.830743,1.0,0.10468
38,0,False,1.0,1.0,0.102998
39,1,True,0.0,0.0,0.0
40,0,False,0.944976,1.0,0.100585
41,0,False,0.940601,0.998998,0.064467
42,1,True,0.0,0.0,0.0
43,0,False,0.915921,1.0,0.081423
44,0,False,0.944976,1.0,0.100585
45,1,True,0.0,0.0,0.0
46,0,False,0.830743,1.0,0.10468
47,0,False,0.948181,1.0,0.080616
48,1,True,0.0,0.0,0.0
49,0,False,0.944976,1.0,0.100585
50,0,False,0.950204,0.999038,0.122229
51,1,True,0.0,0.0,0.0
52,0,False,0.944976,1.0,0.100585
53,0,False,0.948181,1.0,0.080616
54,1,True,0.0,0.0,0.0
55,0,False,1.0,0.536911,0.100084
56,0,False,0.948181,1.0,0.080616
57,1,True,0.0,0.0,0.0
58,0,False,0.950204,0.999038,0.122229
59,0,False,0.830743,1.0,0.10468
60,1,True,0.0,0.0,0.0
61,0,False,0.948181,1.0,0.080616
62,0,False,0.944976,1.0,0.100585
63,1,True,0.0,0.0,0.0
64,0,False,0.948181,1.0,0.080616
65,0,False,0.938163,0.997777,0.214033
66,1,True,0.382475,0.150466,0.050941
67,0,False,0.683264,0.999987,0.18091
